ID,Unit,Word,IPA,Issue
13-0,13,TEU/FEU,"/ˌtiː iː ˈjuː, ˌef iː ˈjuː/","含逗号（多读/多音，需人工确认）"
13-3,13,CY/CFS,"/ˌsiː ˈwaɪ, ˌsiː ef ˈes/","含逗号（多读/多音，需人工确认）"
13-4,13,GP/HC,"/ˌdʒiː ˈpiː, ˌeɪtʃ ˈsiː/","含逗号（多读/多音，需人工确认）"
13-5,13,OT/FR,"/ˌoʊ ˈtiː, ˌef ˈɑː/","含逗号（多读/多音，需人工确认）"
13-28,13,MB/L & HB/L,"/ˌem biː ˈel, ˌeɪtʃ biː ˈel/","含逗号（多读/多音，需人工确认）"
13-34,13,ETD/ETA,"/ˌiː tiː ˈdiː, ˌiː tiː ˈeɪ/","含逗号（多读/多音，需人工确认）"
13-35,13,ATD/ATA,"/ˌeɪ tiː ˈdiː, ˌeɪ tiː ˈeɪ/","含逗号（多读/多音，需人工确认）"
13-36,13,POL/POD,"/ˌpiː oʊ ˈel, ˌpiː oʊ ˈdiː/","含逗号（多读/多音，需人工确认）"
13-39,13,AMS/ISF,"/ˌeɪ em ˈes, ˌaɪ es ˈef/","含逗号（多读/多音，需人工确认）"
13-44,13,shipper/consignee,"/ˈʃɪpə, ˌkɑːnsaɪˈniː/","含逗号（多读/多音，需人工确认）"
13-45,13,liner / tramp shipping,"/ˈlaɪnə ˈʃɪpɪŋ, ˈtræmp ˈʃɪpɪŋ/","含逗号（多读/多音，需人工确认）"
